"month","canceled","unavailable","lost_revenue"
"2017-01-01 00:00:00","3","10","245.03"
"2017-02-01 00:00:00","17","45","2718.93"
"2017-03-01 00:00:00","34","32","6430.63"
"2017-04-01 00:00:00","28","9","6573.63"
"2017-05-01 00:00:00","39","31","3480.12"
"2017-06-01 00:00:00","16","24","3310.80"
"2017-07-01 00:00:00","31","52","6217.89"
"2017-08-01 00:00:00","34","32","6301.08"
"2017-09-01 00:00:00","20","38","3296.19"
"2017-10-01 00:00:00","27","58","4556.34"
"2017-11-01 00:00:00","46","84","6952.09"
"2017-12-01 00:00:00","13","42","2020.46"
"2018-01-01 00:00:00","36","48","5381.88"
"2018-02-01 00:00:00","78","30","7422.80"
"2018-03-01 00:00:00","28","17","2469.83"
"2018-04-01 00:00:00","18","5","3449.15"
"2018-05-01 00:00:00","31","16","4095.36"
"2018-06-01 00:00:00","21","4","2295.21"
"2018-07-01 00:00:00","54","18","18944.45"
"2018-08-01 00:00:00","85","7","6334.96"
